ID_ISEP,ID,departamento,GRUPO
1,378,Calamuchita,CENTRO
26,329,Capital,CENTRO
2,327,Colón,CENTRO
3,326,Cruz del Eje,OESTE
4,397,General Roca,SUR
5,339,General San Martín,CENTRO
6,324,Ischilín,NORTE
7,342,Juárez Celman,SUR
8,338,Marcos Juárez,ESTE
9,331,Minas,OESTE
10,332,Pocho,OESTE
11,393,Presidente Roque Sáenz Peña,SUR
12,328,Punilla,CENTRO
13,343,Río Cuarto,SUR
14,340,Río Primero,CENTRO
15,433,Río Seco,NORTE
16,335,Río Segundo,CENTRO
17,333,San Alberto,OESTE
18,334,San Javier,OESTE
19,336,San Justo,ESTE
20,330,Santa María,CENTRO
21,322,Sobremonte,NORTE
22,341,Tercero Arriba,CENTRO
23,325,Totoral,NORTE
24,323,Tulumba,NORTE
25,337,Unión,ESTE