ifda,anio,matricula_inicial_total,acumulado
Colegio Superior San Martín,2016,73,73
Colegio Superior San Martín,2017,93,166
Colegio Superior San Martín,2018,236,402
Colegio Superior San Martín,2019,241,643
Colegio Superior San Martín,2020,202,845
Colegio Superior San Martín,2021,225,1070
Colegio Superior San Martín,2022,175,1245
Colegio Superior San Martín,2023,342,1587
Conservatorio Superior de Música Juan José Castro,2018,91,91
Conservatorio Superior de Música Juan José Castro,2019,105,196
Conservatorio Superior de Música Juan José Castro,2020,124,320
Conservatorio Superior de Música Juan José Castro,2021,96,416
Conservatorio Superior de Música Juan José Castro,2022,61,477
Conservatorio Superior de Música Juan José Castro,2023,39,516
Escuela Normal Superior Dr. Agustín Garzón Agulla,2018,140,140
Escuela Normal Superior Dr. Agustín Garzón Agulla,2019,352,492
Escuela Normal Superior Dr. Agustín Garzón Agulla,2020,526,1018
Escuela Normal Superior Dr. Agustín Garzón Agulla,2021,385,1403
Escuela Normal Superior Dr. Agustín Garzón Agulla,2022,671,2074
Escuela Normal Superior Dr. Agustín Garzón Agulla,2023,884,2958
Escuela Normal Superior Dr. Alejandro Carbó,2017,278,278
Escuela Normal Superior Dr. Alejandro Carbó,2018,904,1182
Escuela Normal Superior Dr. Alejandro Carbó,2019,494,1676
Escuela Normal Superior Dr. Alejandro Carbó,2020,445,2121
Escuela Normal Superior Dr. Alejandro Carbó,2021,1302,3423
Escuela Normal Superior Dr. Alejandro Carbó,2022,1400,4823
Escuela Normal Superior Dr. Alejandro Carbó,2023,1366,6189
Escuela Normal Superior Justo José de Urquiza,2016,216,216
Escuela Normal Superior Justo José de Urquiza,2017,232,448
Escuela Normal Superior Justo José de Urquiza,2018,501,949
Escuela Normal Superior Justo José de Urquiza,2019,252,1201
Escuela Normal Superior Justo José de Urquiza,2020,531,1732
Escuela Normal Superior Justo José de Urquiza,2021,324,2056
Escuela Normal Superior Justo José de Urquiza,2022,252,2308
Escuela Normal Superior Justo José de Urquiza,2023,298,2606
Instituto Superior Carlos Alberto Leguizamón,2017,52,52
Instituto Superior Carlos Alberto Leguizamón,2018,56,108
Instituto Superior Carlos Alberto Leguizamón,2019,150,258
Instituto Superior Carlos Alberto Leguizamón,2020,674,932
Instituto Superior Carlos Alberto Leguizamón,2021,384,1316
Instituto Superior Carlos Alberto Leguizamón,2022,559,1875
Instituto Superior Carlos Alberto Leguizamón,2023,1095,2970
Instituto Superior Dr. Bernardo Houssay,2016,46,46
Instituto Superior Dr. Bernardo Houssay,2017,57,103
Instituto Superior Dr. Bernardo Houssay,2018,187,290
Instituto Superior Dr. Bernardo Houssay,2019,138,428
Instituto Superior Dr. Bernardo Houssay,2020,264,692
Instituto Superior Dr. Bernardo Houssay,2021,142,834
Instituto Superior Dr. Bernardo Houssay,2022,255,1089
Instituto Superior Dr. Bernardo Houssay,2023,270,1359
Instituto Superior Dr. Carlos María Carena,2016,45,45
Instituto Superior Dr. Carlos María Carena,2017,46,91
Instituto Superior Dr. Carlos María Carena,2018,210,301
Instituto Superior Dr. Carlos María Carena,2019,170,471
Instituto Superior Dr. Carlos María Carena,2020,211,682
Instituto Superior Dr. Carlos María Carena,2021,176,858
Instituto Superior Dr. Carlos María Carena,2022,225,1083
Instituto Superior Dr. Carlos María Carena,2023,257,1340
Instituto Superior Ramón Menéndez Pidal,2023,0,0
Instituto Superior de Estudios Pedagógicos,2016,1153,1153
Instituto Superior de Estudios Pedagógicos,2017,2395,3548
Instituto Superior de Estudios Pedagógicos,2018,1738,5286
Instituto Superior de Estudios Pedagógicos,2019,100,5386
Instituto Superior de Estudios Pedagógicos,2020,556,5942
Instituto Superior de Estudios Pedagógicos,2021,429,6371
Instituto Superior de Estudios Pedagógicos,2022,560,6931
Instituto Superior de Estudios Pedagógicos,2023,367,7298
Instituto Superior de Formacion Docente Reneé Trettel de Fabián,2023,0,0
Instituto Superior del Profesorado Tecnológico,2020,212,212
Instituto Superior del Profesorado Tecnológico,2021,197,409
Instituto Superior del Profesorado Tecnológico,2022,252,661
Instituto Superior del Profesorado Tecnológico,2023,127,788
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2016,154,154
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2017,242,396
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2018,512,908
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2019,318,1226
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2020,311,1537
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2021,545,2082
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2022,561,2643
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",2023,476,3119
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,2017,60,60
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,2018,136,196
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,2019,119,315
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,2020,204,519
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,2021,126,645
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,2022,134,779
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,2023,305,1084
Instituto de Enseñanza Superior Simón Bolívar,2016,958,958
Instituto de Enseñanza Superior Simón Bolívar,2017,1288,2246
Instituto de Enseñanza Superior Simón Bolívar,2018,1201,3447
Instituto de Enseñanza Superior Simón Bolívar,2019,1114,4561
Instituto de Enseñanza Superior Simón Bolívar,2020,1480,6041
Instituto de Enseñanza Superior Simón Bolívar,2021,1984,8025
Instituto de Enseñanza Superior Simón Bolívar,2022,1066,9091
Instituto de Enseñanza Superior Simón Bolívar,2023,690,9781
